institucion,comunidad_modal
ACADEMIA POLITECNICA NAVAL,1
ACEPTA.COM S.A.,0
AFP CUPRUM,0
AFP MODELO,0
AFP UNO,0
AGENCIA DE CALIDAD DE LA EDUCACION,5
AGENCIA DE PROMOCION DE LA INVERSION EXTRANJERA,0
AGENCIA DE SUSTENTABILIDAD Y CAMBIO CLIMATICO,2
AGENCIA NACIONAL DE CIBERSEGURIDAD,0
AGENCIA NACIONAL DE INVESTIGACION Y DESARROLLO,6
AGROSEGUROS,0
ARMADA DE CHILE,1
BANCO CENTRAL DE CHILE,0
BID-LOCAL,5
BPO ADVISORS SPA,0
CAJA DE PREVISION DE LA DEFENSA NACIONAL,1
CAMARA DE DIPUTADOS DE CHILE,6
CARABINEROS DE CHILE,0
CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIOS DE SALUD,0
CENTRO DE FORMACION TECNICA DE LA REGION DE TARAPACA,0
CENTRO DE FORMACION TECNICA DE LA REGION DE VALPARAISO,0
CENTRO DE REFERENCIA DE SALUD DE PENALOLEN CORDILLERA ORIENTE,0
CERTIFICADORA DEL SUR,0
CERTINET S.A.,0
COMISION ADMINISTRADORA DEL SISTEMA DE CREDITOS PARA ESTUDIOS SUPERIORES,0
COMISION CHILENA DE ENERGIA NUCLEAR,0
COMISION CHILENA DEL COBRE,0
COMISION NACIONAL DE ENERGIA,2
COMISION NACIONAL DE RIEGO,2
COMISION PARA EL MERCADO FINANCIERO,0
COMISION PARA LA INTEGRIDAD PUBLICA Y TRANSPARENCIA,5
CONSEJO DE DEFENSA DEL ESTADO,0
CONSEJO NACIONAL DE EDUCACION,0
CONSEJO NACIONAL DE TELEVISION,0
CONSEJO PARA LA TRANSPARENCIA,0
CONTRALORIA GENERAL DE LA REPUBLICA,5
CORPORACION DE ASISTENCIA JUDICIAL DE LA REGION DEL BIOBIO,0
CORPORACION DE ASISTENCIA JUDICIAL DE LA REGION METROPOLITANA,0
CORPORACION DE EDUCACION Y SALUD DE LAS CONDES,0
CORPORACION DE FOMENTO DE LA PRODUCCION,2
CORPORACION NACIONAL DE DESARROLLO INDIGENA,0
CORPORACION NACIONAL FORESTAL Y DE PROTECCION DE RECURSOS NATURALES RENOVABLES,6
DEFENSA CIVIL DE CHILE,0
DEFENSORIA PENAL PUBLICA,0
DIRECCION DE ARQUITECTURA,6
DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,0
DIRECCION DE CONTABILIDAD Y FINANZAS,4
DIRECCION DE EDUCACION PUBLICA,5
DIRECCION DE PRESUPUESTOS,5
DIRECCION DE PREVISION DE CARABINEROS DE CHILE,0
DIRECCION DE VIALIDAD,4
DIRECCION DEL TRABAJO,0
DIRECCION GENERAL DE AERONAUTICA CIVIL,0
DIRECCION GENERAL DE AGUAS,2
DIRECCION GENERAL DE MOVILIZACION NACIONAL,0
DIRECCION GENERAL DE PROMOCION DE EXPORTACIONES,2
DIRECCION GENERAL DEL CREDITO PRENDARIO,0
DIRECCION GENERAL DEL TERRITORIO MARITIMO Y DE MARINA MERCANTE,1
DIRECCION NACIONAL DE FRONTERAS Y LIMITES DEL ESTADO,0
DIRECCION NACIONAL DEL SERVICIO CIVIL,0
DOCDIGITAL,5
E-CERT CHILE,0
E-DIGITAL PKI SPA.,0
E-PROCESS,6
E-SIGN S.A.,0
EJERCITO DE CHILE,1
FISCALIA NACIONAL ECONOMICA,9
FONDO DE SOLIDARIDAD E INVERSION SOCIAL,0
FONDO NACIONAL DE SALUD,0
FUERZA AEREA DE CHILE,1
GENDARMERIA DE CHILE,0
GOBIERNO REGIONAL DE LA REGION AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,8
GOBIERNO REGIONAL DE LA REGION DE ANTOFAGASTA,5
GOBIERNO REGIONAL DE LA REGION DE ARICA Y PARINACOTA,6
GOBIERNO REGIONAL DE LA REGION DE COQUIMBO,6
GOBIERNO REGIONAL DE LA REGION DE LA ARAUCANIA,5
GOBIERNO REGIONAL DE LA REGION DE LOS LAGOS,6
GOBIERNO REGIONAL DE LA REGION DE VALPARAISO,5
GOBIERNO REGIONAL DE LA REGION METROPOLITANA DE SANTIAGO,0
HCC CALAMA,0
HOSPITAL BASE VALDIVIA,7
HOSPITAL REGIONAL DE ARICA Y PARINACOTA DR. JUAN NOE CREVANI,6
HOSPITAL REGIONAL DE TALCA,6
ILUSTRE MUNICIPALIDAD DE LAGO RANCO,7
INSTITUCION,1
INSTITUTO ANTARTICO CHILENO,0
INSTITUTO DE DESARROLLO AGROPECUARIO,0
INSTITUTO DE PREVISION SOCIAL,0
INSTITUTO DE SALUD PUBLICA DE CHILE,0
INSTITUTO DE SEGURIDAD LABORAL,0
INSTITUTO NACIONAL DE DEPORTES DE CHILE,6
INSTITUTO NACIONAL DE DERECHOS HUMANOS,0
INSTITUTO NACIONAL DE ESTADISTICAS,0
INSTITUTO NACIONAL DE LA JUVENTUD,0
INSTITUTO NACIONAL DE PROPIEDAD INDUSTRIAL,0
JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECAS,5
JUNTA NACIONAL DE JARDINES INFANTILES,0
MICROSYSTEM S.A.,0
MINISTERIO DE BIENES NACIONALES,0
MINISTERIO DE DESARROLLO SOCIAL Y FAMILIA,0
MINISTERIO DE ECONOMIA,4
MINISTERIO DE EDUCACION,5
MINISTERIO DE ENERGIA,0
MINISTERIO DE HACIENDA,0
MINISTERIO DE INTERIOR Y SEGURIDAD PUBLICA,0
"MINISTERIO DE LAS CULTURAS, LAS ARTES Y EL PATRIMONIO",6
MINISTERIO DE OBRAS PUBLICAS,4
MINISTERIO DE RELACIONES EXTERIORES,0
MINISTERIO DE SALUD,0
MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES,0
MINISTERIO DE VIVIENDA Y URBANISMO,0
MINISTERIO DEL INTERIOR,6
MINISTERIO DEL MEDIO AMBIENTE,2
MINISTERIO PUBLICO,0
MINISTERIO SECRETARIA GENERAL DE GOBIERNO,6
MINISTERIO SECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,5
MUNICIPALIDAD DE ANGOL,0
MUNICIPALIDAD DE ANTOFAGASTA,0
MUNICIPALIDAD DE ARICA,6
MUNICIPALIDAD DE CABILDO,0
MUNICIPALIDAD DE CASTRO,3
MUNICIPALIDAD DE COIHUECO,0
MUNICIPALIDAD DE COLINA,0
MUNICIPALIDAD DE COLLIPULLI,0
MUNICIPALIDAD DE COQUIMBO,0
MUNICIPALIDAD DE CORONEL,7
MUNICIPALIDAD DE CORRAL,0
MUNICIPALIDAD DE COYHAIQUE,8
MUNICIPALIDAD DE CURARREHUE,0
MUNICIPALIDAD DE CURICO,0
MUNICIPALIDAD DE DONIHUE,0
MUNICIPALIDAD DE EL BOSQUE,5
MUNICIPALIDAD DE EL QUISCO,0
MUNICIPALIDAD DE ESTACION CENTRAL,0
MUNICIPALIDAD DE HUALANE,0
MUNICIPALIDAD DE HUECHURABA,0
MUNICIPALIDAD DE LA FLORIDA,0
MUNICIPALIDAD DE LA REINA,0
MUNICIPALIDAD DE LAS CONDES,0
MUNICIPALIDAD DE LAUTARO,0
MUNICIPALIDAD DE LICANTEN,5
MUNICIPALIDAD DE LLANQUIHUE,7
MUNICIPALIDAD DE LO BARNECHEA,0
MUNICIPALIDAD DE LOS ANGELES,0
MUNICIPALIDAD DE LOS SAUCES,0
MUNICIPALIDAD DE LOS VILOS,0
MUNICIPALIDAD DE LOTA,0
MUNICIPALIDAD DE MAIPU,0
MUNICIPALIDAD DE MAULLIN,7
MUNICIPALIDAD DE MELIPILLA,5
MUNICIPALIDAD DE MULCHEN,0
MUNICIPALIDAD DE NACIMIENTO,5
MUNICIPALIDAD DE NAVIDAD,0
MUNICIPALIDAD DE NUNOA,0
MUNICIPALIDAD DE OSORNO,6
MUNICIPALIDAD DE PADRE HURTADO,0
MUNICIPALIDAD DE PANGUIPULLI,7
MUNICIPALIDAD DE PARRAL,0
MUNICIPALIDAD DE PEDRO AGUIRRE CERDA,0
MUNICIPALIDAD DE PELARCO,0
MUNICIPALIDAD DE PENAFLOR,0
MUNICIPALIDAD DE PENALOLEN,0
MUNICIPALIDAD DE PINTO,0
MUNICIPALIDAD DE PITRUFQUEN,0
MUNICIPALIDAD DE PROVIDENCIA,0
MUNICIPALIDAD DE PUCON,7
MUNICIPALIDAD DE PUENTE ALTO,0
MUNICIPALIDAD DE PUERTO MONTT,7
MUNICIPALIDAD DE PUERTO VARAS,5
MUNICIPALIDAD DE PUNTA ARENAS,0
MUNICIPALIDAD DE QUILICURA,0
MUNICIPALIDAD DE QUILPUE,0
MUNICIPALIDAD DE RANCAGUA,0
MUNICIPALIDAD DE RECOLETA,0
MUNICIPALIDAD DE RENAICO,5
MUNICIPALIDAD DE RENCA,0
MUNICIPALIDAD DE RENGO,0
MUNICIPALIDAD DE REQUINOA,0
MUNICIPALIDAD DE RIO BUENO,7
MUNICIPALIDAD DE RIO CLARO,0
MUNICIPALIDAD DE SAN ANTONIO,0
MUNICIPALIDAD DE SAN CLEMENTE,6
MUNICIPALIDAD DE SAN FERNANDO,0
MUNICIPALIDAD DE SAN JOAQUIN,5
MUNICIPALIDAD DE SAN PEDRO DE ATACAMA,5
MUNICIPALIDAD DE SAN PEDRO DE LA PAZ,7
MUNICIPALIDAD DE SANTA BARBARA,0
MUNICIPALIDAD DE SANTIAGO,0
MUNICIPALIDAD DE SANTO DOMINGO,0
MUNICIPALIDAD DE TALTAL,0
MUNICIPALIDAD DE TEMUCO,7
MUNICIPALIDAD DE TOME,7
MUNICIPALIDAD DE TORRES DEL PAINE,8
MUNICIPALIDAD DE VALDIVIA,7
MUNICIPALIDAD DE VALLENAR,0
MUNICIPALIDAD DE VALPARAISO,0
MUNICIPALIDAD DE VILLA ALEGRE,6
MUNICIPALIDAD DE VILLARRICA,7
MUNICIPALIDAD DE VINA DEL MAR,0
MUNICIPALIDAD DE VITACURA,7
MUNICIPALIDAD DE ZAPALLAR,0
MUNICIPIOS,5
OPTION,0
PARQUE METROPOLITANO DE SANTIAGO,0
PODER JUDICIAL,0
POLICIA DE INVESTIGACIONES DE CHILE,0
PRESIDENCIA DE LA REPUBLICA,0
PRIMER TRIBUNAL AMBIENTAL,9
PRIMER TRIBUNAL ELECTORAL,10
REDIN,1
SANIDAD NAVAL DE LA ARMADA DE CHILE,1
SECRETARIA DE GOBIERNO DIGITAL,0
SEGUNDO TRIBUNAL AMBIENTAL,9
SEGUNDO TRIBUNAL ELECTORAL REGION METROPOLITANA,10
SENADO,0
SERVICIO AGRICOLA Y GANADERO,0
SERVICIO DE COOPERACION TECNICA,0
SERVICIO DE EVALUACION AMBIENTAL,2
SERVICIO DE IMPUESTOS INTERNOS,0
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,0
SERVICIO DE SALUD ANTOFAGASTA,0
SERVICIO DE SALUD ARAUCANIA SUR,0
SERVICIO DE SALUD ARICA Y PARINACOTA,0
SERVICIO DE SALUD ATACAMA,0
SERVICIO DE SALUD AYSEN,8
SERVICIO DE SALUD BIOBIO,0
SERVICIO DE SALUD COQUIMBO,0
SERVICIO DE SALUD DEL RELONCAVI,0
SERVICIO DE SALUD LIBERTADOR GENERAL BERNARDO O'HIGGINS,0
SERVICIO DE SALUD MAGALLANES,0
SERVICIO DE SALUD MAULE,6
SERVICIO DE SALUD METROPOLITANO ORIENTE,0
SERVICIO DE SALUD METROPOLITANO SUR,0
SERVICIO DE SALUD METROPOLITANO SUR ORIENTE,0
SERVICIO DE SALUD NUBLE,5
SERVICIO DE SALUD OSORNO,0
SERVICIO DE SALUD TARAPACA,0
SERVICIO DE SALUD VINA DEL MAR - QUILLOTA,0
SERVICIO DE TESORERIAS,0
SERVICIO ELECTORAL,0
SERVICIO LOCAL DE EDUCACION PUBLICA DE ANDALIEN SUR,5
SERVICIO LOCAL DE EDUCACION PUBLICA DE CHINCHORRO,6
SERVICIO LOCAL DE EDUCACION PUBLICA DE COLCHAGUA,5
SERVICIO LOCAL DE EDUCACION PUBLICA DE PUNILLA CORDILLERA,5
SERVICIO NACIONAL DE ADUANAS,0
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,0
SERVICIO NACIONAL DE GEOLOGIA Y MINERIA,0
SERVICIO NACIONAL DE LA DISCAPACIDAD,0
SERVICIO NACIONAL DE LA MUJER Y LA EQUIDAD DE GENERO,0
SERVICIO NACIONAL DE MENORES,0
SERVICIO NACIONAL DE MIGRACIONES,0
SERVICIO NACIONAL DE PESCA Y ACUICULTURA,1
SERVICIO NACIONAL DE PROTECCION ESPECIALIZADA A LA NINEZ Y ADOLESCENCIA,8
SERVICIO NACIONAL DE TURISMO,8
SERVICIO NACIONAL DEL ADULTO MAYOR,0
SERVICIO NACIONAL DEL CONSUMIDOR,0
SERVICIO NACIONAL DEL PATRIMONIO CULTURAL,0
SERVICIO NACIONAL PARA LA PREVENCION Y REHABILITACION DEL CONSUMO DE DROGAS Y ALCOHOL,0
SIMPLE,5
SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE S.A.,0
SUBSECRETARIA DE BIENES NACIONALES,0
SUBSECRETARIA DE DERECHOS HUMANOS,0
SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,0
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,0
SUBSECRETARIA DE EDUCACION,0
SUBSECRETARIA DE EDUCACION PARVULARIA,5
SUBSECRETARIA DE ENERGIA,0
SUBSECRETARIA DE EVALUACION SOCIAL,0
SUBSECRETARIA DE HACIENDA,6
SUBSECRETARIA DE JUSTICIA,0
SUBSECRETARIA DE LA MUJER Y LA EQUIDAD DE GENERO,5
SUBSECRETARIA DE LAS CULTURAS Y LAS ARTES,6
SUBSECRETARIA DE MINERIA,0
SUBSECRETARIA DE OBRAS PUBLICAS,4
SUBSECRETARIA DE PESCA Y ACUICULTURA,1
SUBSECRETARIA DE PREVENCION DEL DELITO,0
SUBSECRETARIA DE PREVISION SOCIAL,0
SUBSECRETARIA DE REDES ASISTENCIALES,0
SUBSECRETARIA DE RELACIONES ECONOMICAS INTERNACIONALES,2
SUBSECRETARIA DE RELACIONES EXTERIORES,0
SUBSECRETARIA DE SALUD PUBLICA,0
SUBSECRETARIA DE SERVICIOS SOCIALES,0
